datetime,sw_radiation,temp_2m,cloud_cover
2020-05-15 00:00:00,0.0,29.5,13
2020-05-15 01:00:00,0.0,28.7,8
2020-05-15 02:00:00,0.0,28.0,16
2020-05-15 03:00:00,0.0,27.5,39
2020-05-15 04:00:00,0.0,27.0,36
2020-05-15 05:00:00,0.0,26.4,69
2020-05-15 06:00:00,20.0,26.6,47
2020-05-15 07:00:00,170.0,27.5,62
2020-05-15 08:00:00,390.0,29.2,6
2020-05-15 09:00:00,609.0,31.5,32
2020-05-15 10:00:00,789.0,33.7,66
2020-05-15 11:00:00,910.0,35.8,87
2020-05-15 12:00:00,964.0,37.3,94
2020-05-15 13:00:00,943.0,38.3,88
2020-05-15 14:00:00,853.0,39.1,57
2020-05-15 15:00:00,686.0,39.5,29
2020-05-15 16:00:00,462.0,39.6,52
2020-05-15 17:00:00,253.0,39.0,21
2020-05-15 18:00:00,63.0,37.4,33
2020-05-15 19:00:00,0.0,36.6,72
2020-05-15 20:00:00,0.0,35.2,66
2020-05-15 21:00:00,0.0,34.0,38
2020-05-15 22:00:00,0.0,32.9,21
2020-05-15 23:00:00,0.0,31.9,26
2020-05-16 00:00:00,0.0,31.0,30
2020-05-16 01:00:00,0.0,30.4,9
2020-05-16 02:00:00,0.0,30.0,24
2020-05-16 03:00:00,0.0,29.4,33
2020-05-16 04:00:00,0.0,28.9,11
2020-05-16 05:00:00,0.0,28.5,11
2020-05-16 06:00:00,18.0,29.0,97
2020-05-16 07:00:00,158.0,30.1,99
2020-05-16 08:00:00,334.0,31.5,98
2020-05-16 09:00:00,564.0,33.2,96
2020-05-16 10:00:00,758.0,34.9,91
2020-05-16 11:00:00,868.0,36.4,31
2020-05-16 12:00:00,930.0,37.7,6
2020-05-16 13:00:00,880.0,39.0,24
2020-05-16 14:00:00,704.0,39.3,69
2020-05-16 15:00:00,577.0,39.2,69
2020-05-16 16:00:00,350.0,35.8,100
2020-05-16 17:00:00,213.0,37.1,100
2020-05-16 18:00:00,52.0,36.7,100
2020-05-16 19:00:00,0.0,36.4,100
2020-05-16 20:00:00,0.0,34.4,100
2020-05-16 21:00:00,0.0,33.7,100
2020-05-16 22:00:00,0.0,33.4,100
2020-05-16 23:00:00,0.0,33.2,100
2020-05-17 00:00:00,0.0,31.5,100
2020-05-17 01:00:00,0.0,31.3,100
2020-05-17 02:00:00,0.0,30.6,100
2020-05-17 03:00:00,0.0,30.2,100
2020-05-17 04:00:00,0.0,30.0,99
2020-05-17 05:00:00,0.0,29.2,85
2020-05-17 06:00:00,19.0,29.4,100
2020-05-17 07:00:00,145.0,30.1,100
2020-05-17 08:00:00,337.0,31.4,100
2020-05-17 09:00:00,530.0,33.0,100
2020-05-17 10:00:00,694.0,34.4,99
2020-05-17 11:00:00,712.0,35.6,98
2020-05-17 12:00:00,861.0,37.2,100
2020-05-17 13:00:00,602.0,37.6,100
2020-05-17 14:00:00,438.0,38.1,100
2020-05-17 15:00:00,466.0,38.4,100
2020-05-17 16:00:00,232.0,36.4,100
2020-05-17 17:00:00,110.0,35.0,100
2020-05-17 18:00:00,42.0,34.6,100
